date,open,high,low,close,symbol
2018-06-06,48.4075,48.5,47.9875,48.5,AAPL
2018-06-07,48.53875,48.54,48.09625,48.375,AAPL
2018-06-08,47.745,47.99875,47.45125,47.8775,AAPL
2018-06-11,47.83625,47.9925,47.5575,47.79,AAPL
2018-06-12,47.84625,48.15,47.79375,48.08,AAPL
2018-06-13,48.12,48.2125,47.6225,47.66625,AAPL
2018-06-14,47.88375,47.88375,47.5575,47.7125,AAPL
2018-06-15,47.5075,47.53125,47.075,47.2675,AAPL
2018-06-18,46.955,47.305,46.805,47.185,AAPL
2018-06-19,46.325,46.575,45.865,46.4375,AAPL
2018-06-20,46.5825,46.7975,46.4325,46.6275,AAPL
2018-06-21,46.82625,47.08375,46.23875,46.34875,AAPL
2018-06-22,46.49625,46.53,46.2075,46.25375,AAPL
2018-06-25,45.87375,46.23,45.185,45.56,AAPL
2018-06-26,45.63875,46.62,45.63875,46.0825,AAPL
2018-06-27,46.3075,46.8125,46.04,46.065,AAPL
2018-06-28,46.01,46.55125,45.955,46.4025,AAPL
2018-06-29,46.5675,46.79375,46.3375,46.3375,AAPL
2018-07-02,45.9575,46.8175,45.8875,46.795,AAPL
2018-07-03,46.945,46.985,45.91,45.91,AAPL
2018-07-05,46.29,46.5975,46.085,46.35,AAPL
2018-07-06,46.35,47.1025,46.34,46.9925,AAPL
2018-07-09,47.345,47.6675,47.3425,47.645,AAPL
2018-07-10,47.6825,47.81875,47.5525,47.5875,AAPL
2018-07-11,47.18,47.435,46.9225,46.9825,AAPL
2018-07-12,47.345,47.8425,47.345,47.7575,AAPL
2018-07-13,47.78625,47.95375,47.7325,47.8325,AAPL
2018-07-16,47.9,48.15875,47.60625,47.7275,AAPL
2018-07-17,47.44,47.96625,47.3425,47.8675,AAPL
2018-07-18,47.9475,47.9475,47.4975,47.6,AAPL
2018-07-19,47.4225,48.135,47.4225,47.9925,AAPL
2018-07-20,47.94125,48.1025,47.555,47.86,AAPL
2018-07-23,47.64875,47.99,47.3925,47.9025,AAPL
2018-07-24,48.07125,48.415,48.015,48.25,AAPL
2018-07-25,48.26625,48.705,48.1125,48.705,AAPL
2018-07-26,48.65375,48.99,48.4025,48.5525,AAPL
2018-07-27,48.74875,48.77,47.53,47.745,AAPL
2018-07-30,47.985,48.0475,47.275,47.43,AAPL
2018-07-31,47.58,48.035,47.335,47.5725,AAPL
2018-08-01,49.78625,50.43875,49.3375,50.405,AAPL
2018-08-02,50.1325,52.09125,50.0925,51.8475,AAPL
2018-08-03,51.8475,52.17,51.6275,51.99,AAPL
2018-08-06,51.98375,52.3125,51.77,52.265,AAPL
2018-08-07,52.3575,52.3675,51.6975,51.7775,AAPL
2018-08-08,51.5225,51.9475,51.1375,51.8125,AAPL
2018-08-09,51.8125,52.4425,51.8125,52.22,AAPL
2018-08-10,51.83,52.275,51.67,51.8825,AAPL
2018-08-13,51.9625,52.735,51.95,52.2175,AAPL
2018-08-14,52.53875,52.63875,52.065,52.4375,AAPL
2018-08-15,52.26625,52.6825,52.0875,52.56,AAPL
2018-08-16,52.56,53.4325,52.56,53.37,AAPL
2018-08-17,53.3675,54.485,53.29625,54.395,AAPL
2018-08-20,54.52625,54.7925,53.7775,53.865,AAPL
2018-08-21,54.16875,54.305,53.5075,53.765,AAPL
2018-08-22,53.55,54.0875,53.47,53.7625,AAPL
2018-08-23,53.66625,54.26375,53.66,53.8725,AAPL
2018-08-24,54.1275,54.22,53.78,54.04,AAPL
2018-08-27,54.3075,54.685,54.09,54.485,AAPL
2018-08-28,54.7625,55.1375,54.7375,54.925,AAPL
2018-08-29,55.06375,55.805,54.8525,55.745,AAPL
2018-08-30,55.8175,57.06625,55.6025,56.2575,AAPL
2018-08-31,56.635,57.215,56.55625,56.9075,AAPL
2018-09-04,57.10625,57.2925,56.66375,57.09,AAPL
2018-09-05,57.245,57.40625,56.2775,56.7175,AAPL
2018-09-06,56.6625,56.81,55.33375,55.775,AAPL
2018-09-07,55.4775,56.34,55.1775,55.325,AAPL
2018-09-10,55.24375,55.4625,54.12,54.5825,AAPL
2018-09-11,54.5025,56.0725,54.1425,55.9625,AAPL
2018-09-12,56.225,56.2475,54.9625,55.265,AAPL
2018-09-13,55.88875,57.08875,55.645,56.6025,AAPL
2018-09-14,56.315,56.7025,55.635,55.96,AAPL
2018-09-17,55.535,55.7125,54.32,54.47,AAPL
2018-09-18,54.45625,55.44375,54.295,54.56,AAPL
2018-09-19,54.6325,54.91,53.82375,54.5925,AAPL
2018-09-20,55.0775,55.56625,54.795,55.0075,AAPL
2018-09-21,55.24875,55.34875,54.31875,54.415,AAPL
2018-09-24,54.22,55.315,54.1625,55.1975,AAPL
2018-09-25,54.945,55.7125,54.9275,55.5475,AAPL
2018-09-26,55.285,55.9375,54.97,55.105,AAPL
2018-09-27,55.96625,56.61375,55.89625,56.2375,AAPL
2018-09-28,56.19125,56.4625,56.005,56.435,AAPL
2018-10-01,57.02125,57.3525,56.5825,56.815,AAPL
2018-10-02,56.83125,57.51,56.66125,57.32,AAPL
2018-10-03,57.55375,58.37,57.45125,58.025,AAPL
2018-10-04,57.72625,58.08125,56.68875,56.9975,AAPL
2018-10-05,57.0375,57.0375,55.145,56.0725,AAPL
2018-10-08,55.41,56.1975,55.0525,55.94,AAPL
2018-10-09,55.9125,56.8175,55.5625,56.7275,AAPL
2018-10-10,56.39,56.57,54.07125,54.09,AAPL
2018-10-11,53.6,54.865,53.085,53.6125,AAPL
2018-10-12,55.2475,55.7175,54.23,55.5275,AAPL
2018-10-15,55.26125,55.4525,54.3225,54.34,AAPL
2018-10-16,54.74375,55.725,54.1925,55.5375,AAPL
2018-10-17,55.56,55.6575,54.84125,55.3,AAPL
2018-10-18,54.465,54.935,53.25,54.005,AAPL
2018-10-19,54.51875,55.3125,54.3575,54.8275,AAPL
2018-10-22,54.94125,55.8375,54.86125,55.1475,AAPL
2018-10-23,53.9,55.81625,53.7025,55.6825,AAPL
2018-10-24,55.6425,56.0575,53.64375,53.7725,AAPL
2018-10-25,54.42625,55.3375,54.185,54.95,AAPL
2018-10-26,53.995,55.0425,53.1725,54.075,AAPL
2018-10-29,54.78875,54.92,51.7375,53.06,AAPL
2018-10-30,52.7575,53.795,52.3175,53.325,AAPL
2018-10-31,54.30875,55.11,54.2375,54.715,AAPL
2018-11-01,54.765,55.5875,54.2025,55.555,AAPL
2018-11-02,52.3875,53.41,51.3575,51.87,AAPL
2018-11-05,51.08,51.0975,49.545,50.3975,AAPL
2018-11-06,50.5,51.17625,50.42125,50.9425,AAPL
2018-11-07,51.4975,52.4875,51.0375,52.4875,AAPL
2018-11-08,52.49125,52.5225,51.685,52.1225,AAPL
2018-11-09,51.385,51.5025,50.56875,51.1175,AAPL
2018-11-12,49.75125,49.9625,48.445,48.5425,AAPL
2018-11-13,47.92875,49.2925,47.8875,48.0575,AAPL
2018-11-14,48.45375,48.61625,46.4925,46.7,AAPL
2018-11-15,47.09875,47.9875,46.725,47.8525,AAPL
2018-11-16,47.64375,48.7325,47.375,48.3825,AAPL
2018-11-19,47.49875,47.675,46.24875,46.465,AAPL
2018-11-20,44.59375,45.3575,43.895,44.235,AAPL
2018-11-21,44.9325,45.0625,44.14,44.19,AAPL
2018-11-23,43.72,44.145,43.03,43.0725,AAPL
2018-11-26,43.54375,43.7325,42.6025,43.655,AAPL
2018-11-27,42.91875,43.6875,42.72,43.5625,AAPL
2018-11-28,44.16,45.3175,43.73125,45.235,AAPL
2018-11-29,45.66375,45.6925,44.42375,44.8875,AAPL
2018-11-30,44.8875,44.8875,44.25625,44.645,AAPL
2018-12-03,46.1125,46.23,45.30375,46.205,AAPL
2018-12-04,45.25,45.595,44.06875,44.1725,AAPL
2018-12-06,42.93875,43.6875,42.61,43.68,AAPL
2018-12-07,43.3475,43.60875,42.08,42.1225,AAPL
2018-12-10,41.245,42.52,40.9325,42.4,AAPL
2018-12-11,42.93375,42.93875,41.75,42.1575,AAPL
2018-12-12,42.57625,42.975,42.2575,42.275,AAPL
2018-12-13,42.60875,43.14,42.41,42.7375,AAPL
2018-12-14,42.1475,42.2,41.3225,41.37,AAPL
2018-12-17,41.3775,42.085,40.685,41.00375,AAPL
2018-12-18,41.35,41.88,41.1,41.5175,AAPL
2018-12-19,41.465,41.8575,39.9025,40.2175,AAPL
2018-12-20,40.0525,40.515,38.855,39.2075,AAPL
2018-12-21,39.185,39.4925,37.41,37.6825,AAPL
2018-12-24,37.01625,37.8825,36.66375,36.7925,AAPL
2018-12-26,37.07875,39.305,36.68625,39.2925,AAPL
2018-12-27,39.035,39.15625,37.5225,38.94,AAPL
2018-12-28,39.37125,39.625,38.7725,39.0575,AAPL
2018-12-31,39.63,39.8125,39.125,39.435,AAPL
2019-01-02,38.685,39.705,38.5625,39.48,AAPL
2019-01-03,35.995,36.42625,35.5,35.52125,AAPL
2019-01-04,36.105,37.14125,35.95125,37.065,AAPL
2019-01-07,37.1575,37.19625,36.4775,36.9825,AAPL
2019-01-08,37.435,37.95375,37.1625,37.6875,AAPL
2019-01-09,37.81625,38.625,37.41625,38.3275,AAPL
2019-01-10,38.11,38.4925,37.715,38.45,AAPL
2019-01-11,38.235,38.4225,37.87875,38.0725,AAPL
2019-01-14,38.0725,38.0725,37.32625,37.5,AAPL
2019-01-15,37.57,38.3475,37.5175,38.2675,AAPL
2019-01-16,38.255,38.96625,38.25,38.735,AAPL
2019-01-17,38.55125,39.32,38.3175,38.965,AAPL
2019-01-18,39.385,39.4475,38.9975,39.205,AAPL
2019-01-22,39.14375,39.17375,38.17125,38.325,AAPL
2019-01-23,38.5075,38.785,37.9275,38.49125,AAPL
2019-01-24,38.465,38.6175,37.9525,38.175,AAPL
2019-01-25,38.825,39.5325,38.5825,39.43,AAPL
2019-01-28,38.97,39.075,38.4175,39.075,AAPL
2019-01-29,39.04375,39.5325,38.52625,38.67,AAPL
2019-01-30,40.80875,41.535,40.095,41.3125,AAPL
2019-01-31,41.5475,42.25,41.145,41.61,AAPL
2019-02-01,41.76125,42.24,41.49875,41.63,AAPL
2019-02-04,41.8575,42.89625,41.8225,42.8125,AAPL
2019-02-05,43.2275,43.69875,43.0925,43.545,AAPL
2019-02-06,43.7,43.825,43.2325,43.56,AAPL
2019-02-07,43.0725,43.37625,42.625,42.735,AAPL
2019-02-08,42.23625,42.63625,42.105,42.6025,AAPL
2019-02-11,42.7925,42.8025,42.3225,42.3575,AAPL
2019-02-12,42.5325,42.75,42.4375,42.7225,AAPL
2019-02-13,42.86,43.12125,42.4825,42.545,AAPL
2019-02-14,42.4575,42.81625,42.345,42.69875,AAPL
2019-02-15,42.815,42.925,42.4375,42.6025,AAPL
2019-02-19,42.38625,42.86,42.3775,42.7125,AAPL
2019-02-20,42.77,43.33,42.7575,43.0075,AAPL
2019-02-21,42.9375,43.08875,42.58,42.7525,AAPL
2019-02-22,42.86125,43.1975,42.86125,43.1975,AAPL
2019-02-25,43.5125,43.96,43.4925,43.53125,AAPL
2019-02-26,43.395,43.8225,43.29,43.5825,AAPL
2019-02-27,43.305,43.75625,43.19125,43.7075,AAPL
2019-02-28,43.58,43.7275,43.245,43.2875,AAPL
2019-03-01,43.57,43.785,43.2225,43.7225,AAPL
2019-03-04,43.94125,44.4375,43.49375,43.9625,AAPL
2019-03-05,43.9725,43.985,43.6375,43.8825,AAPL
2019-03-06,43.675,43.8725,43.48875,43.63625,AAPL
2019-03-07,43.45875,43.6075,43.00625,43.1375,AAPL
2019-03-08,42.58,43.24875,42.38,43.24,AAPL
2019-03-11,43.905,44.78125,43.8375,44.70875,AAPL
2019-03-12,44.99375,45.6675,44.8425,45.2325,AAPL
2019-03-13,45.5625,45.81,45.2325,45.41,AAPL
2019-03-14,45.98625,46.025,45.6425,45.9675,AAPL
2019-03-15,46.16375,46.83,45.93875,46.54875,AAPL
2019-03-18,46.4825,47.0975,46.47375,47.0075,AAPL
2019-03-19,47.11,47.2475,46.4825,46.6325,AAPL
2019-03-20,46.5625,47.37,46.19125,47.0575,AAPL
2019-03-21,47.5125,49.0675,47.465,48.825,AAPL
2019-03-22,48.825,49.42,47.7,47.7425,AAPL
2019-03-25,47.8975,47.995,46.66125,47.165,AAPL
2019-03-26,47.9125,48.22,46.1525,46.68,AAPL
2019-03-27,47.16625,47.43875,46.6325,47.1225,AAPL
2019-03-28,47.235,47.385,46.88375,47.1625,AAPL
2019-03-29,47.49,47.5,47.135,47.485,AAPL
2019-04-01,47.91125,47.91125,47.1025,47.815,AAPL
2019-04-02,47.79875,48.615,47.765,48.515,AAPL
2019-04-03,48.34875,49.125,48.2875,48.845,AAPL
2019-04-04,48.71125,49.08875,48.7,48.9225,AAPL
2019-04-05,49.1175,49.27,48.99625,49.25,AAPL
2019-04-08,49.1025,50.05375,49.085,50.0175,AAPL
2019-04-09,50.0825,50.70875,49.8075,49.875,AAPL
2019-04-10,49.6725,50.19125,49.54875,50.17,AAPL
2019-04-11,50.22625,50.2375,49.6125,49.7375,AAPL
2019-04-12,49.80625,50.035,49.06125,49.7,AAPL
2019-04-15,49.6325,49.955,49.50625,49.8075,AAPL
2019-04-16,49.84375,50.3425,49.65,49.8125,AAPL
2019-04-17,49.82,50.845,49.6575,50.78375,AAPL
2019-04-18,50.7825,51.0375,50.6325,50.965,AAPL
2019-04-22,50.675,51.24125,50.5825,51.1325,AAPL
2019-04-23,51.1175,51.9375,51.02,51.87,AAPL
2019-04-24,51.8225,52.11875,51.76625,51.79,AAPL
2019-04-25,51.68,51.94125,51.2825,51.32,AAPL
2019-04-26,51.225,51.25375,50.5525,51.075,AAPL
2019-04-29,51.1375,51.495,50.97125,51.1525,AAPL
2019-04-30,50.7625,50.8475,49.7925,50.21875,AAPL
2019-05-01,52.5125,53.825,52.3075,52.64,AAPL
2019-05-02,52.44,53.15875,52.0375,52.2875,AAPL
2019-05-03,52.7125,52.9425,52.55875,52.9375,AAPL
2019-05-06,51.0725,52.21,50.905,52.12,AAPL
2019-05-07,51.47375,51.8425,50.2075,50.715,AAPL
2019-05-08,50.5425,51.32875,50.4425,50.725,AAPL
2019-05-09,50.095,50.4175,49.19,50.18,AAPL
2019-05-10,49.37125,49.71,48.2075,49.3,AAPL
2019-05-13,46.84125,47.3625,46.175,46.44125,AAPL
2019-05-14,46.61875,47.43,46.365,47.16,AAPL
2019-05-15,46.57,47.935,46.51,47.755,AAPL
2019-05-16,47.4575,48.1175,47.2125,47.53625,AAPL
2019-05-17,46.7675,47.725,46.70375,47.2525,AAPL
2019-05-20,45.8775,46.0825,45.07625,45.7675,AAPL
2019-05-21,46.315,47.0,46.18,46.63875,AAPL
2019-05-22,46.1475,46.4275,45.6375,45.68875,AAPL
2019-05-23,44.8525,45.13875,44.45375,44.9225,AAPL
2019-05-24,45.0875,45.52875,44.65125,44.765,AAPL
2019-05-28,44.725,45.13,44.48625,44.57,AAPL
2019-05-29,44.095,44.8375,44.005,44.3875,AAPL
2019-05-30,44.475,44.8075,44.1675,44.565,AAPL
2019-05-31,44.06,44.49625,43.75125,43.7575,AAPL
2019-06-03,43.88125,44.47875,42.58,43.3,AAPL
2019-06-04,43.8625,44.955,43.63,44.91875,AAPL
2019-06-05,46.075,46.2475,45.285,45.6275,AAPL
2019-06-06,45.8175,46.37,45.53875,46.325,AAPL
2019-06-07,46.64875,47.98875,46.45,47.535,AAPL
2019-06-10,48.05625,48.84,47.935,48.14875,AAPL
2019-06-11,48.7275,48.9975,48.4,48.7,AAPL
2019-06-12,48.4875,48.9875,48.34875,48.5475,AAPL
2019-06-13,48.675,49.19875,48.42875,48.7325,AAPL
2019-06-14,47.87,48.395,47.58375,48.185,AAPL
2019-06-17,48.21375,48.74,48.055,48.485,AAPL
2019-06-18,48.99125,50.0725,48.81,49.625,AAPL
2019-06-19,49.90125,49.96875,49.33,49.455,AAPL
2019-06-20,50.07375,50.14,49.515,49.8725,AAPL
2019-06-21,49.6725,50.2125,49.535,49.7225,AAPL
2019-06-24,49.65125,50.035,49.565,49.63875,AAPL
2019-06-25,49.64,49.815,48.84,48.91,AAPL
2019-06-26,49.4475,50.245,49.3375,49.9475,AAPL
2019-06-27,50.0475,50.3925,49.8925,49.9325,AAPL
2019-06-28,49.6675,49.8725,49.2625,49.5125,AAPL
2019-07-01,50.7925,51.12,50.16125,50.37125,AAPL
2019-07-02,50.3525,50.7825,50.34875,50.6725,AAPL
2019-07-03,50.815,51.0925,50.67375,51.0925,AAPL
2019-07-05,50.79375,51.2675,50.7575,51.05875,AAPL
2019-07-08,50.1475,50.3475,49.60875,49.99875,AAPL
2019-07-09,49.78625,50.3725,49.705,50.3075,AAPL
2019-07-10,50.4925,50.92875,50.4,50.795,AAPL
2019-07-11,50.835,51.09125,50.45,50.45,AAPL
2019-07-12,50.6225,50.9975,50.555,50.81,AAPL
2019-07-15,51.025,51.4675,51.00875,51.27,AAPL
2019-07-16,51.195,51.5275,50.8775,51.0725,AAPL
2019-07-17,51.0325,51.27375,50.83625,50.8375,AAPL
2019-07-18,50.9725,51.4675,50.93375,51.4075,AAPL
2019-07-19,51.45,51.625,50.59625,50.64375,AAPL
2019-07-22,50.9125,51.795,50.9125,51.7775,AAPL
2019-07-23,52.115,52.2325,51.84125,52.18375,AAPL
2019-07-24,51.93125,52.28625,51.7975,52.13625,AAPL
2019-07-25,52.2225,52.3075,51.68375,51.7525,AAPL
2019-07-26,51.905,52.43125,51.785,51.9625,AAPL
2019-07-29,52.1225,52.655,52.1225,52.44125,AAPL
2019-07-30,52.1325,52.54,51.83,52.23,AAPL
2019-07-31,54.1075,55.3425,52.84875,53.27,AAPL
2019-08-01,53.5175,54.505,51.69125,52.095,AAPL
2019-08-02,51.32375,51.6075,50.4075,50.97,AAPL
2019-08-05,49.4775,49.6525,48.1475,48.29125,AAPL
2019-08-06,49.105,49.51375,48.5125,49.2375,AAPL
2019-08-07,48.8625,49.89,48.455,49.7675,AAPL
2019-08-08,50.05125,50.87375,49.85,50.82375,AAPL
2019-08-09,50.3125,50.69,49.825,50.25,AAPL
2019-08-12,49.935,50.515,49.79,50.145,AAPL
2019-08-13,50.2475,53.02,50.2075,52.29,AAPL
2019-08-14,50.7575,51.6075,50.645,50.6925,AAPL
2019-08-15,50.84,51.27875,49.9175,50.405,AAPL
2019-08-16,51.075,51.79,50.965,51.5875,AAPL
2019-08-19,52.65875,53.17875,52.51,52.55125,AAPL
2019-08-20,52.7025,53.3375,52.6025,52.63125,AAPL
2019-08-21,53.2425,53.41125,52.965,53.15125,AAPL
2019-08-22,53.30625,53.6075,52.69625,53.195,AAPL
2019-08-23,52.28125,53.00625,50.45375,50.66375,AAPL
2019-08-26,51.46,51.7975,51.265,51.6425,AAPL
2019-08-27,51.965,52.09375,50.88625,51.03625,AAPL
2019-08-28,51.0675,51.4325,50.8325,51.39,AAPL
2019-08-29,52.125,52.32875,51.6725,52.2725,AAPL
2019-08-30,52.515,52.6125,51.8,52.0975,AAPL
2019-09-03,51.605,51.7375,51.065,51.4275,AAPL
2019-09-04,52.1025,52.36875,51.8375,52.275,AAPL
2019-09-05,52.99375,53.49375,52.8775,53.2925,AAPL
2019-09-06,53.5125,53.6025,53.1375,53.3425,AAPL
2019-09-09,53.68375,54.10875,53.34,53.56,AAPL
2019-09-10,53.48125,54.185,52.9325,54.18375,AAPL
2019-09-11,54.52,55.9,54.435,55.8975,AAPL
2019-09-12,56.19625,56.5825,55.725,55.8,AAPL
2019-09-13,54.96625,55.19125,54.2575,54.64,AAPL
2019-09-16,54.4325,55.02625,54.39,54.9675,AAPL
2019-09-17,54.98,55.205,54.785,55.155,AAPL
2019-09-18,55.25,55.6975,54.895,55.6825,AAPL
2019-09-19,55.52375,55.93375,55.1225,55.23625,AAPL
2019-09-20,55.3725,55.615,54.37875,54.42125,AAPL
2019-09-23,54.755,54.95625,54.4175,54.675,AAPL
2019-09-24,55.2475,55.615,54.315,54.5,AAPL
2019-09-25,54.6425,55.3625,54.3,55.2675,AAPL
2019-09-26,54.9875,55.2275,54.72,54.9,AAPL
2019-09-27,55.1375,55.2225,54.3375,54.715,AAPL
2019-09-30,55.2175,56.14,55.21,56.015,AAPL
2019-10-01,56.2625,57.05,56.06,56.115,AAPL
2019-10-02,55.765,55.87,54.49,54.7825,AAPL
2019-10-03,54.585,55.2375,53.8025,55.2375,AAPL
