sector,suma
Technology,5099.4146435987195
Financial Services,1139.9680928543999
Healthcare,1138.792821728
Industrials,367.87541978944
Consumer Cyclical,707.27507219264
Consumer Defensive,557.88524678144
Energy,200.66250326016
Communication Services,316.05341811712
Basic Materials,46.58089072768






