date,close,symbol,rtb
2020-06-02,182.83,MSFT,No
2020-06-03,184.09500000000003,MSFT,No
2020-06-04,185.36,MSFT,No
2020-06-05,182.92,MSFT,No
2020-06-08,187.2,MSFT,No
2020-06-09,188.36,MSFT,No
2020-06-10,188.205,MSFT,No
2020-06-11,188.05,MSFT,No
2020-06-12,187.895,MSFT,No
2020-06-15,187.74,MSFT,No
2020-06-16,188.94,MSFT,No
2020-06-17,193.57,MSFT,No
2020-06-18,194.24,MSFT,No
2020-06-19,196.32,MSFT,No
2020-06-22,195.15,MSFT,No
2020-06-23,200.57,MSFT,No
2020-06-24,201.91,MSFT,No
2020-06-25,197.84,MSFT,No
2020-06-26,200.34,MSFT,No
2020-06-29,196.33,MSFT,No
2020-06-30,198.44,MSFT,No
2020-07-01,203.51,MSFT,No
2020-07-02,204.7,MSFT,No
2020-07-06,206.26,MSFT,No
2020-07-07,210.7,MSFT,No
2020-07-08,208.25,MSFT,No
2020-07-09,212.83,MSFT,No
2020-07-10,214.32,MSFT,No
2020-07-13,213.67,MSFT,No
2020-07-14,207.07,MSFT,No
2020-07-15,208.35,MSFT,No
2020-07-16,208.04,MSFT,No
2020-07-17,203.92,MSFT,No
2020-07-20,202.88,MSFT,No
2020-07-21,211.6,MSFT,No
2020-07-22,208.75,MSFT,No
2020-07-23,211.75,MSFT,No
2020-07-24,202.54,MSFT,No
2020-07-27,201.3,MSFT,No
2020-07-28,203.85,MSFT,No
2020-07-29,202.02,MSFT,No
2020-07-30,204.06,MSFT,No
2020-07-31,203.9,MSFT,No
2020-08-03,205.01,MSFT,No
2020-08-04,216.54,MSFT,No
2020-08-05,213.29,MSFT,No
2020-08-06,212.94,MSFT,No
2020-08-07,216.35,MSFT,No
2020-08-10,212.48,MSFT,No
2020-08-11,208.25,MSFT,No
2020-08-12,203.38,MSFT,No
2020-08-13,209.19,MSFT,No
2020-08-14,208.7,MSFT,No
2020-08-17,208.9,MSFT,No
2020-08-18,210.28,MSFT,No
2020-08-19,210.97689453404,MSFT,No
2020-08-20,209.7,MSFT,No
2020-08-21,214.58,MSFT,No
2020-08-24,213.02,MSFT,No
2020-08-25,213.69,MSFT,No
2020-08-26,216.47,MSFT,No
2020-08-27,221.15,MSFT,No
2020-08-28,226.58,MSFT,No
2020-08-31,228.91,MSFT,No
2020-09-01,225.53,MSFT,No
2020-09-02,227.27,MSFT,No
2020-09-03,231.65,MSFT,No
2020-09-04,217.3,MSFT,No
2020-09-08,214.25,MSFT,No
2020-09-09,202.66,MSFT,No
2020-09-10,211.29,MSFT,No
2020-09-11,205.37,MSFT,No
2020-09-14,204.03,MSFT,No
2020-09-15,205.41,MSFT,No
2020-09-16,208.78,MSFT,No
2020-09-17,205.05,MSFT,No
2020-09-18,202.91,MSFT,No
2020-09-21,200.39,MSFT,No
2020-09-22,202.54,MSFT,No
2020-09-23,207.42,MSFT,No
2020-09-24,200.59,MSFT,No
2020-09-25,203.19,MSFT,No
2020-09-28,207.82,MSFT,No
2020-09-29,209.44,MSFT,No
2020-09-30,207.26,MSFT,No
2020-10-01,210.33,MSFT,No
2020-10-02,212.46,MSFT,No
2020-10-05,206.19,MSFT,No
2020-10-06,210.38,MSFT,No
2020-10-07,205.91,MSFT,No
2020-10-08,209.83,MSFT,No
2020-10-09,210.58,MSFT,No
2020-10-12,215.81,MSFT,No
2020-10-13,221.4,MSFT,No
2020-10-14,222.86,MSFT,No
2020-10-15,220.86,MSFT,No
2020-10-16,219.66,MSFT,No
2020-10-19,214.29,MSFT,No
2020-10-20,214.495,MSFT,No
2020-10-21,214.65,MSFT,No
2020-10-22,214.8,MSFT,No
2020-10-23,214.89,MSFT,No
2020-10-26,216.23,MSFT,No
2020-10-27,213.235,MSFT,No
2020-10-28,202.295,MSFT,No
2020-10-29,202.68,MSFT,No
2020-10-30,204.72,MSFT,No
2020-11-02,202.47,MSFT,No
2020-11-03,202.33,MSFT,No
2020-11-04,206.43,MSFT,No
2020-11-05,216.39,MSFT,No
2020-11-06,223.29,MSFT,No
2020-11-09,223.72,MSFT,No
2020-11-10,218.39,MSFT,No
2020-11-11,211.01,MSFT,No
2020-11-12,216.55,MSFT,No
2020-11-13,215.44,MSFT,No
2020-11-16,216.51,MSFT,No
2020-11-17,217.23,MSFT,No
2020-11-18,213.89253827254,MSFT,No
2020-11-19,211.08,MSFT,No
2020-11-20,212.42,MSFT,No
2020-11-23,210.39,MSFT,No
2020-11-24,210.11,MSFT,No
2020-11-25,213.86,MSFT,No
2020-11-27,213.87,MSFT,No
2020-11-30,215.23,MSFT,No
2020-12-01,214.07,MSFT,No
2020-12-02,216.21,MSFT,No
2020-12-03,215.37,MSFT,No
2020-12-04,214.24,MSFT,No
2020-12-07,214.36,MSFT,No
2020-12-08,214.29,MSFT,No
2020-12-09,216.01,MSFT,No
2020-12-10,211.8,MSFT,No
2020-12-11,210.52,MSFT,No
2020-12-14,213.26,MSFT,No
2020-12-15,214.2,MSFT,No
2020-12-16,214.13,MSFT,No
